,Flight,DepartureTime,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Delay
88,7027.0,11:12,00:40,OO,COS,DEN,Mon,no
89,1034.0,17:41,01:59,DL,PBI,ATL,Fri,yes
90,2444.0,11:25,03:44,DL,LAS,CVG,Sun,yes
91,1045.0,14:25,01:40,DL,IND,ATL,Sun,yes
92,799.0,08:45,02:38,CO,IAH,DEN,Thu,yes
93,703.0,11:10,01:25,WN,SMF,SNA,Thu,yes
94,1773.0,16:05,01:51,DL,ATL,MIA,Mon,no
95,2559.0,09:45,00:58,XE,IAH,LFT,Thu,yes
96,1139.0,16:15,01:25,WN,BWI,BOS,Wed,yes
97,2863.0,20:55,01:02,YV,PHX,FLG,Mon,no
98,1403.0,08:21,04:00,B6,AUS,SFO,Tue,yes
99,1710.0,12:00,02:05,DL,DFW,ATL,Fri,yes
