Flight,DepartureTime,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Delay
454.0,21:10,01:39,US,PHX,SLC,Mon,no
5511.0,21:35,01:23,EV,ATL,GPT,Fri,no
1659.0,06:40,01:10,WN,CMH,BWI,Thu,no
52.0,22:20,00:56,AS,FAI,ANC,Tue,no
3797.0,09:25,01:58,9E,MEM,AUS,Sat,yes
2927.0,09:00,01:50,MQ,DFW,EVV,Sun,no
1900.0,15:50,02:50,AA,SNA,DFW,Thu,no
1939.0,20:00,02:08,DL,DCA,ATL,Sun,yes
7278.0,16:38,01:39,YV,ORD,SYR,Fri,no
853.0,09:25,02:30,WN,LAS,AUS,Sun,yes
1564.0,16:25,02:42,US,FLL,PHL,Tue,no
1570.0,19:15,02:35,US,FLL,PHL,Fri,no
532.0,13:30,03:23,CO,IAH,LGA,Mon,no
385.0,09:10,01:31,UA,SFO,LAX,Sun,no
1492.0,13:00,02:54,DL,MSP,BOS,Sat,no
1703.0,08:30,02:42,US,DCA,FLL,Mon,no
2290.0,20:20,01:50,WN,LAS,DEN,Tue,yes
3256.0,06:00,00:50,MQ,GRK,DFW,Wed,no
2530.0,10:00,02:43,DL,MSP,BOS,Sun,yes
168.0,10:25,00:43,HA,HNL,KOA,Wed,no
7038.0,07:13,02:03,OO,MSO,DEN,Mon,yes
5047.0,10:19,01:26,EV,LEX,ATL,Wed,yes
4649.0,18:50,03:00,MQ,LGA,MSP,Thu,yes
1402.0,19:50,02:20,AA,DFW,CLT,Fri,yes
2106.0,17:04,01:26,DL,MCI,MSP,Sun,no
3827.0,18:15,02:16,9E,PVD,DTW,Mon,yes
3415.0,15:55,01:40,WN,DAL,STL,Sun,yes
275.0,16:00,02:34,US,PHX,IAH,Sat,no
207.0,08:55,01:35,FL,ATL,CAK,Sat,yes
5325.0,13:47,01:37,EV,LYH,ATL,Wed,yes
1289.0,10:05,01:45,WN,SMF,PHX,Wed,yes
1547.0,08:50,01:25,WN,SFO,SNA,Fri,yes
1737.0,09:42,01:38,DL,BWI,DTW,Sun,no
207.0,19:35,01:05,WN,PHX,SAN,Wed,yes
300.0,21:00,01:45,WN,STL,DAL,Tue,no
626.0,16:14,03:11,F9,DTW,DEN,Sun,yes
4536.0,10:15,01:26,OO,RNO,SLC,Thu,yes
6279.0,15:07,01:25,OO,SFO,SNA,Wed,yes
472.0,11:05,01:30,US,PHX,BUR,Mon,no
66.0,13:27,01:39,DL,TPA,ATL,Thu,yes
2396.0,17:15,02:05,XE,EWR,DTW,Wed,yes
379.0,18:20,03:15,AA,DFW,SNA,Thu,yes
5169.0,09:11,03:28,EV,ATL,ELP,Tue,yes
102.0,19:35,02:23,UA,ORD,JAX,Sun,no
490.0,10:47,02:37,AS,SEA,SAN,Thu,no
2527.0,21:38,01:54,DL,ATL,FLL,Sat,no
2260.0,19:35,01:10,WN,BWI,BUF,Fri,yes
607.0,20:15,04:35,AA,ORD,LAX,Tue,no
2606.0,18:54,01:42,YV,MEM,CLT,Thu,no
7027.0,11:12,00:40,OO,COS,DEN,Mon,no
1034.0,17:41,01:59,DL,PBI,ATL,Fri,yes
2444.0,11:25,03:44,DL,LAS,CVG,Sun,yes
1045.0,14:25,01:40,DL,IND,ATL,Sun,yes
799.0,08:45,02:38,CO,IAH,DEN,Thu,yes
703.0,11:10,01:25,WN,SMF,SNA,Thu,yes
1773.0,16:05,01:51,DL,ATL,MIA,Mon,no
2559.0,09:45,00:58,XE,IAH,LFT,Thu,yes
1139.0,16:15,01:25,WN,BWI,BOS,Wed,yes
2863.0,20:55,01:02,YV,PHX,FLG,Mon,no
1403.0,08:21,04:00,B6,AUS,SFO,Tue,yes
1710.0,12:00,02:05,DL,DFW,ATL,Fri,yes
